"Region, subregion, country or area *",1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Colombia,12633.899,14632.794,17092.919,19837.508,22516.429,25164.544,28101.824,31195.417,34422.568,37723.803,40875.363,43737.512
Ecuador,3654.720,4178.344,4809.194,5560.013,6429.377,7383.713,8409.396,9522.362,10716.131,11951.457,13143.465,14296.554
Falkland Islands (Malvinas),2.231,2.175,2.119,2.035,1.941,1.877,1.845,1.866,2.169,2.688,2.944,2.928
French Guiana,26.897,29.620,34.379,42.430,51.272,59.868,73.414,97.972,125.075,146.331,178.548,216.182
Guyana,432.815,518.251,606.286,675.861,721.949,762.424,781.249,757.451,748.596,757.975,744.789,746.477
Paraguay,1550.983,1761.454,2006.675,2290.797,2597.149,2935.710,3368.763,3891.725,4445.019,4998.096,5531.958,5998.430
Peru,8184.725,9347.833,10749.463,12386.868,14221.954,16258.323,18426.420,20691.285,22966.822,25210.957,27100.964,28333.050
Suriname,229.211,263.756,303.894,347.673,367.907,357.649,360.927,381.033,420.658,454.165,482.228,511.181
Uruguay,2286.261,2437.496,2603.883,2750.091,2821.458,2856.958,2953.852,3049.581,3154.459,3270.158,3326.046,3331.753
Venezuela (Bolivarian Republic of),5974.437,7285.566,8742.780,10359.741,12097.696,13964.377,16017.570,18232.733,20557.694,22837.743,25100.407,27247.601
Australia,8595.064,9587.459,10643.420,11899.644,13244.163,14092.545,14979.203,16183.159,17402.179,18387.205,19401.366,20916.339
New Zealand,1992.809,2229.828,2477.192,2702.676,2929.687,3122.406,3188.537,3310.751,3503.194,3752.355,3963.202,4233.046
Fiji,304.883,356.939,421.673,487.973,542.843,598.299,668.281,721.776,744.470,792.736,815.257,836.185
New Caledonia,64.409,71.374,83.214,96.072,114.984,137.463,149.535,160.873,178.759,203.185,225.482,243.332
Papua New Guinea,2024.160,2145.599,2340.349,2596.820,2918.138,3302.636,3768.489,4292.575,4836.216,5446.633,6098.621,6808.503
Solomon Islands,94.059,107.986,125.040,145.319,172.550,207.885,246.451,286.871,330.004,379.998,435.434,492.133
Vanuatu,50.291,58.242,67.793,78.505,90.802,106.206,121.398,136.075,155.176,174.917,193.927,219.464
Guam,60.870,63.926,69.605,78.412,87.580,97.477,108.901,121.923,136.693,150.303,157.173,158.848
Kiribati,34.270,38.317,43.283,48.403,52.775,56.759,60.887,67.244,74.767,80.188,87.308,96.531
Marshall Islands,13.441,14.085,15.547,18.383,22.335,27.479,33.330,42.168,49.242,50.453,52.368,56.046
Micronesia (Fed. States of),34.586,40.351,47.372,56.308,62.275,66.079,78.015,89.985,101.386,108.473,107.027,104.442
Nauru,3.555,3.959,4.942,6.221,6.798,7.396,8.016,8.868,10.030,10.643,10.102,9.846
Northern Mariana Islands,7.204,8.810,10.438,11.723,13.884,15.049,20.163,36.371,46.473,50.052,58.412,55.215
Palau,7.630,8.895,10.329,11.329,12.342,12.646,12.519,14.121,15.859,18.016,19.642,19.159
American Samoa,19.546,19.671,21.246,25.235,28.564,30.834,34.969,42.741,49.900,55.227,59.077,58.367
Cook Islands,15.634,17.120,18.452,19.890,21.309,19.068,17.271,17.794,18.678,18.653,18.274,18.994
French Polynesia,63.848,72.062,83.652,99.990,118.438,139.893,162.679,186.588,207.238,226.854,248.976,262.717
Niue,4.692,4.722,4.930,5.206,4.722,3.684,3.123,2.520,2.261,2.069,1.795,1.647
Samoa,86.805,99.480,115.768,134.181,147.295,153.218,157.365,160.962,165.490,172.065,176.410,182.045
Tokelau,1.499,1.723,1.936,1.816,1.575,1.548,1.611,1.686,1.558,1.547,1.438,1.143
Tonga,51.181,57.372,66.233,79.034,86.327,90.259,93.636,94.318,95.398,96.621,99.023,102.577
Tuvalu,4.872,5.194,5.340,5.510,5.786,6.650,7.951,8.481,9.110,9.328,9.593,10.219
Wallis and Futuna Islands,7.274,7.871,8.399,8.805,8.924,9.918,12.298,13.873,13.873,14.351,14.991,14.128
Belarus,7677.429,7878.768,8279.893,8670.567,9056.732,9378.923,9703.088,10026.470,10154.338,10009.393,9745.932,9480.514
Bulgaria,7372.016,7689.135,8022.157,8343.494,8608.660,8801.899,8930.708,8960.554,8676.379,8211.804,7866.242,7576.675
Czechia,9110.144,9467.557,9691.061,9817.110,9891.102,10200.728,10365.264,10327.472,10353.021,10338.346,10252.264,10357.535
Hungary,9597.942,9913.251,10062.510,10248.705,10426.085,10636.567,10715.857,10474.544,10358.622,10308.479,10167.286,10024.158
Poland,25764.322,28259.605,30389.354,31901.687,33147.079,34571.226,36221.543,37544.332,38197.588,38544.838,38488.640,38353.339
Republic of Moldova,2431.886,2776.930,3146.547,3445.836,3698.230,3911.809,4091.132,4290.484,4376.804,4286.477,4178.228,4130.129
Romania,16764.911,17968.470,18924.152,19810.612,21011.147,22087.896,22830.547,23288.388,23375.828,22637.600,21853.278,21034.196
Russian Federation,105967.087,114913.780,122858.215,128187.398,131539.634,135413.335,139954.626,145032.886,148268.576,147730.020,145215.707,143266.207
Slovakia,3587.655,3954.855,4249.208,4448.551,4615.834,4852.494,5073.882,5219.967,5329.029,5391.202,5400.124,5398.693
Ukraine,38360.078,41085.019,43752.227,46063.219,47783.006,49287.118,50377.069,51219.911,51415.957,50187.280,47980.033,46366.347
Channel Islands,103.664,106.966,111.464,117.469,123.611,127.186,129.976,136.762,142.006,145.387,149.591,154.644
Denmark,4346.187,4495.215,4649.341,4831.750,4990.551,5097.049,5123.349,5117.282,5171.654,5277.713,5372.798,5469.920
Estonia,1125.237,1181.017,1245.083,1319.249,1386.074,1443.891,1492.640,1551.209,1520.811,1409.678,1382.737,1344.295
Faroe Islands,31.669,33.268,35.521,37.705,39.915,42.133,44.101,46.340,46.746,45.789,47.235,47.825
Finland,4096.559,4323.916,4498.821,4588.660,4651.174,4746.929,4835.102,4946.368,5044.928,5151.740,5213.368,5297.741
Iceland,147.713,164.786,182.711,197.405,209.928,222.267,233.273,247.057,260.155,272.709,285.329,305.181
Ireland,2909.049,2835.058,2792.380,2846.351,2986.566,3242.767,3453.785,3515.827,3529.847,3651.096,3907.995,4324.649
Isle of Man,54.848,50.433,48.421,52.117,57.166,61.335,63.765,66.476,71.262,73.851,78.318,82.406
Latvia,1945.956,2049.314,2185.873,2314.506,2418.280,2492.984,2540.444,2626.906,2620.254,2453.310,2332.528,2198.089
Lithuania,2578.051,2677.006,2846.393,3037.458,3203.634,3354.067,3481.128,3627.326,3688.103,3579.911,3444.777,3258.984
Norway,3334.477,3492.445,3639.213,3784.867,3933.726,4044.335,4111.650,4186.972,4292.685,4420.266,4546.017,4719.403
Sweden,7127.517,7347.475,7579.570,7875.902,8127.045,8250.692,8329.428,8421.056,8686.735,8868.857,8920.703,9162.941
United Kingdom,50651.273,51495.703,53109.400,54866.529,55892.412,56203.598,56241.408,56658.260,57446.041,58307.320,59326.294,61455.154
Albania,1316.090,1500.180,1737.675,1998.743,2254.058,2518.685,2790.284,3124.892,3245.887,3099.747,3126.183,3033.993
Andorra,7.251,10.778,15.379,20.760,26.885,32.769,39.115,48.459,58.882,64.318,70.048,82.682
Bosnia and Herzegovina,2764.711,3049.928,3353.228,3632.678,3851.153,4063.188,4265.183,4479.516,4233.673,3736.070,3759.389,3762.791
Croatia,3922.668,4098.126,4251.422,4370.858,4453.985,4536.195,4645.404,4758.154,4732.866,4532.405,4395.802,4362.427
Gibraltar,22.489,22.881,24.307,27.172,29.353,30.228,29.698,29.114,28.844,29.404,32.097,33.524
Greece,7814.168,8127.479,8350.876,8528.026,8774.512,9254.979,9796.830,10057.292,10420.226,10906.248,11182.308,11120.371
Holy See,0.883,0.908,0.901,0.766,0.661,0.730,0.725,0.751,0.773,0.787,0.792,0.794
Italy,47390.571,48852.439,50442.350,52433.478,54258.737,55777.881,56644.860,57007.737,57145.308,56903.633,57182.521,58747.862
Malta,312.746,312.702,316.520,322.457,320.437,325.126,336.964,352.617,367.890,383.756,398.720,407.854
Montenegro,410.508,461.813,509.707,530.234,529.214,565.512,595.351,616.794,617.181,618.216,613.371,619.554
North Macedonia,1320.982,1432.016,1527.109,1644.949,1754.951,1851.070,1955.247,1992.278,1988.659,1999.588,2048.930,2065.408
Portugal,8451.545,8734.425,8888.509,8750.863,8789.110,9431.036,9870.822,9914.073,9951.305,10174.564,10385.993,10573.150
San Marino,13.095,14.379,16.255,18.309,19.490,20.397,22.043,23.297,24.830,26.563,28.175,30.068
Serbia,6963.394,7376.691,7669.607,7942.636,8260.626,8663.330,9057.971,9352.149,9701.145,9784.689,9346.464,9101.189
Slovenia,1491.677,1552.256,1605.640,1643.695,1694.979,1777.315,1880.707,1978.498,2005.352,1987.457,1987.265,2012.128
Spain,28399.033,29543.626,31075.475,32830.181,34664.234,36666.770,38209.686,38954.490,39410.852,40035.286,41919.593,45429.071
